tip.label,HRAF.culture,Expression,Restrictiveness,lat,long,Subsistence_Pattern,Subsistence,Biome,Landscape,MeanMonthlyTemperature,Temperature_Predictability,Temperature_Variance,Precipitation_Variance,MeanMonthlyPrecipitation,Precipitation_Predictability,Men_Poly
Ainu,Ainu,1,2,44,144,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,7,0.610077986,108,3293987850,105774,0.702515747,1
Aleut,Aleut,1,2,55,-163,Hunter-Gatherers,Hunter-Gatherers,Boreal Forests/Taiga,Forests,3,0.647161133,12,992190434,81344,0.750429141,20
Alorese,Alorese,1,2,-8,125,Horticultralists,Horticultralists,Tropical & Subtropical Dry Broadleaf Forests,Forests,27,0.834456265,0,23833377925,168015,0.604145283,27
Amahuaca,Amahuaca,1,2,-10,-72,Other Combos,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.748946486,1,5823699641,114339,0.726753273,50
Amhara,Amhara,1,1,13,38,Intensive Agricultralists,Agricultralists,Montane Grasslands & Shrublands,Grasslands,20,0.722535314,4,7102274111,73701,0.519560893,0
Andamanese,Andamans,1,3,12,93,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.805758564,2,31205924957,159977,0.589804953,0
Aranda,Aranda,1,2,-24,134,Hunter-Gatherers,Hunter-Gatherers,Deserts & Xeric Shrublands,Desert,21,0.591495003,37,3710057302,61708,0.452378106,60
Armenians,Armenia,1,1,40,45,Intensive Agricultralists,Agricultralists,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,7,0.583140594,95,947079950,47323,0.653814772,0
Ashanti,Akan,1,3,7,-2,Horticultralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.76971966,2,6752452184,116988,0.696104421,49
Aymara,Aymara,1,2,-16,-66,Horticultralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,18,0.746889376,4,31254400384,233882,0.658866592,0
Azande,Azande,1,1,5,28,Horticultralists,Horticultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,22,0.776169832,1,12359177298,177589,0.706924385,32
Aztec,Nahua,1,2,19,-99,Other Combos,Agricultralists,Tropical & Subtropical Dry Broadleaf Forests,Forests,14,0.760565231,6,8269156567,119352,0.658068088,
Babylonians,Babylonians,1,3,33,45,Intensive Agricultralists,Agricultralists,Deserts & Xeric Shrublands,Desert,23,0.640160674,111,171992938,7853,0.347395525,0
Badjau,Sama-Bajau,0,0,5,120,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,27,0.842628436,0,9218356714,210299,0.699791859,0
Balinese,Balinese,1,3,-9,115,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.835891421,1,15887286508,177017,0.625700618,18
Bambara,Bambara,1,3,13,-7,Agro-Pastoralists,Agricultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,26,0.715705273,7,9041559139,80352,0.645309212,
Basques,Basques,1,1,43,-2,Agro-Pastoralists,Agricultralists,Temperate Broadleaf & Mixed Forests,Forests,14,0.691022688,15,1866041422,72671,0.641531828,0
Bellacoola,Nuxalk,1,2,52,-127,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,2,0.541918409,49,16364533162,192758,0.674157665,
Bemba,Bemba,1,2,-11,31,Horticultralists,Horticultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,18,0.751397474,9,20553738597,126297,0.719558678,2
Bribri,Talamancans,1,2,9,-83,Other Combos,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.8055649,0,13672070334,112754,0.737767558,5
Burmese,Burmans,1,2,22,96,Intensive Agricultralists,Agricultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.693668726,17,13002196174,101497,0.534675439,0
Burusho,Burusho,1,3,36,75,Intensive Agricultralists,Agricultralists,Ice,Polar,-10,0.575711386,135,2968959468,76645,0.600620664,
Callinago,Island Carib,1,3,15,-61,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.853289992,1,1681700105,41613,0.637897047,30
Carib_Barama,Barama River Carib,1,3,7,-60,Hunter-Gatherers,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,25,0.784225637,1,3196062741,82988,0.797256885,20
Cayapa,Chachi,0,0,1,-79,Other Combos,Hunter-Gatherers,Tropical & Subtropical Moist Broadleaf Forests,Forests,23,0.783821885,0,16219626157,256565,0.730143807,0
Chinese,Han Chinese,1,2,37,118,Intensive Agricultralists,Agricultralists,Temperate Broadleaf & Mixed Forests,Forests,12,0.618389052,142,6707887952,73715,0.493192614,0
Chiricahua,Eastern Apache,1,1,32,-110,Hunter-Gatherers,Hunter-Gatherers,Deserts & Xeric Shrublands,Desert,14,0.605925134,70,1165794130,44152,0.51981461,18
Chukchee,Chukchee,1,3,67,180,Pastoralists,Pastoralists,Tundra,Polar,-14,0.4673705,159,715301571,50583,0.623083252,33
Comanche,Comanche,1,3,34,-102,Hunter-Gatherers,Hunter-Gatherers,"Temperate Grasslands, Savannas, & Shrublands",Grasslands,15,0.568641162,95,1583535098,60382,0.575382605,25
Copper_Eskimo,Copper Inuit,1,1,69,-113,Hunter-Gatherers,Hunter-Gatherers,Tundra,Polar,-14,0.434701346,287,183123377,23707,0.676987644,5
Creek,Creek,1,3,33,-86,Hunter-Gatherers,Hunter-Gatherers,Temperate Broadleaf & Mixed Forests,Forests,16,0.621906609,56,2746224264,104125,0.652124125,
Cubeo_Tucano,Tukano,1,3,1,-71,Other Combos,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,24,0.808392515,0,8701186359,248038,0.816894928,3
Cuna_Tule,Kuna,1,2,9,-79,Horticultralists,Horticultralists,Tropical & Subtropical Moist Broadleaf Forests,Forests,26,0.844883836,0,21744630225,156628,0.754203495,1
Egyptians,Fellahin,1,1,25,33,Intensive Agricultralists,Agricultralists,Flooded Grasslands & Savannas,Grasslands,24,0.657733079,56,61013724,2906,0.351085543,3
Eyak,Eyak,1,3,61,-145,Hunter-Gatherers,Hunter-Gatherers,Temperate Conifer Forests,Forests,-1,0.541454996,39,6981751820,174457,0.667805767,
Fon,Fon,1,3,7,2,Horticultralists,Horticultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,25,0.772019014,1,7891901482,118938,0.672336889,
Ganda,Ganda,1,3,0,33,Intensive Agricultralists,Agricultralists,"Tropical & Subtropical Grasslands, Savannas, & Shrublands",Grasslands,22,0.779701391,1,15279696081,136714,0.604572546,55
